author,title,category,phrase_text,error,correction
By Rachel Tan,JoJo's Bizarre Adventure,Anime & Manga,"In “Diamond is Unbreakable”, Josuke meets Okuyasu, a Stand user who can use his hands to erase anything from the universe, be it physical matter or space itself. Okuyasu eventually befriends Josuke, enrolling in their high school and seeking revenge against the Stand named Red Hot Chili Pepper.","Josuke meets Okuyasu, a Stand user who can use his hands to erase anything from the universe,","Um, actually, Okuyasu doesn't use his hands to activate his Stand. His ability only works with his right hand - not both his hands."
By H2,Kill la Kill,Anime & Manga,"The students of Kill la Kill's Honnoji Academy are granted special powers by their uniforms, with the power level being determined by the number of stars on the uniforms. Three-star uniforms, the strongest of the normal uniforms, are only granted to the Elite Four of the school: the disciplinary committee head, the athletic club head, the non athletic club head, and information committee head.","Three-star uniforms, the strongest of the normal uniforms, are only granted to the Elite Four of the school:","Um, actually, the Elite Four aren't the only students with 3-star uniforms. The head of the sewing club, being the one who makes the uniforms, also has a 3-star uniform."
By H2,My Hero Academia,Anime & Manga,"To qualify for the U.A. Academy and become a Pro Hero, students must pass an entrance exam, consisting of a written portion, and a practical portion focused on defeating robot enemies. Even though series protagonist Izuku “Deku” Midoriya fails to defeat any enemies and thus earns no battle points in the exam, he is accepted into U.A. because he earned points for demonstrating heroism by rescuing one of his future classmates.","Even though series protagonist Izuku “Deku” Midoriya fails to defeat any enemies and thus earns no battle points in the exam,","Um, actually, Deku did defeat an enemy in the Entrance Exam. But the enemy he defeated was worth 0 points."
By Rachel Tan,Naruto,Anime & Manga,"The Three Sannin are renowned ninja from Konoha and are hailed as the greatest ninjas of their time. During their time as students of the Third Hokage, they all learned to use the Summoning Technique, which allows them to summon animals to aid them in battle: Jiraiya’s being the frog, Tsunade’s being the pig and Orochimaru’s the snake.","Jiraiya’s being the frog, Tsunade’s being the pig and Orochimaru’s the snake.","Um, actually, Tsunade's summon isn't a pig. Tsunade owns a pig, but her summon is a giant slug with healing properties."
By Peter the Human,One Piece,Anime & Manga,"The Straw Hat Pirates may have given the Going Merry a Viking funeral and replaced it with the Thousand Sunny, but those are far from the only ships on the Blue Sea. Other ships in One Piece include Sexy Foxy, Nostra Castello, Oro Jackson, Queen Anne's Revenge, Shark Superb, Moby Dick and the ghost ship The Flying Dutchman.","Other ships in One Piece include Sexy Foxy, Nostra Castello, Oro Jackson, Queen Anne's Revenge, Shark Superb,","Um, actually, Queen Anne's Revenge isn't a ship from One Piece. It was an actual pirate ship captained by Blackbeard."
By Peter the Human,Ouran High School Host Club,Anime & Manga,"The Host Club has conducted many themed events. Some of these themes are based around Japanese history and culture, such as the The Heian and Edo Eras or Japanese Traditional kimonos, but others are a little stranger: including 18th Century French Nobility, Balinese Royalty, Firefighters, an Arabian Palace, and Halloween Vampires.","others are a little stranger: including 18th Century French Nobility, Balinese Royalty, Firefighters, an Arabian Palace, and Halloween Vampires.","Um, actually, the host club never hosted a ""Firefighter"" themed event. But they did host one themed around ""Law Enforcement""!"
By Sensibly Jake,Perfect Blue,Anime & Manga,"“Perfect Blue” follows Mima Kirigoe, who leaves her idol group to become an actress. Unfortunately, this earns the wrath of a lone stalker, who starts killing people involved in Mima's new career. The stalker also impersonates Mima online, demonstrating knowledge about the most intimate details of her life (including her shopping habits and how she steps off the train) - causing Mima to question her own sanity.","Unfortunately, this earns the wrath of a lone stalker, who starts killing people involved in Mima's new career.","Um, actually, Mima isn't harassed by a lone stalker. Mima has two stalkers - an obsessive fan, and her manager who has begun to see herself as the “real” Mima and impersonates her online"
By Peter the Human,Pokémon: the First Movie,Anime & Manga,"During the climactic battle at the end of “Pokémon: the First Movie”, Ash puts himself in the path of a psychic blast during Mewtwo's battle with Mew, but is revived by Pikachu's tears. Mewtwo realizes that “The circumstances of one’s birth are irrelevant: it is what you do with the gift of life that determines who you are”, and the trainers leave the island, remembering and reflecting on Mewtwo's message.","and the trainers leave the island, remembering and reflecting on Mewtwo's message.","Um, actually, the trainers don't remember Mewtwo's message. Mewtwo erases everyone's memories - so nobody (except Mewtwo) learned anything!"
By Peter the Human,Princess Mononoke,Anime & Manga,"The titular Princess Mononoke was abandoned by her parents as a child after the wolf goddess Moro attacked them for destroying the forest. Moro gave Mononoke her name and raised her as her own daughter - and as such, she is also very concerned with protecting the forest and the animals and spirits she lives with from the citizens of Irontown, who are clearcutting the forest to mine iron.",Moro gave Mononoke her name and raised her as her own daughter,"Um, actually, Moro didn't give her the name Mononoke. ""Princess Mononoke"" is a title that the residents of Iron Town gave her. Mononoke are supernatural, shape-shifting beings. The name Moro gave to her is San - Japanese for ""three“."
By Peter the Human,Spy X Family,Anime & Manga,"Everybody's got secrets! Yor Forger is secretly an assassin, her husband Loid is secretly a spy from Westalis, and her adopted daughter Anya is secretly psychic. When Yor has to explain to her younger brother Yuri (who is secretly a member of Ostiana's Secret Police) why she hadn't told him about her marriage, she explains she needed to keep the marriage secret to help Anya get a scholarship at Eden Academy.",she explains she needed to keep the marriage secret to help Anya get a scholarship at Eden Academy.,"Um, actually, Yor doesn't give an explanation relating to Anya's scholarship. Yor's cover is simply that she forgot to tell Yuri. And then that she forgot that she had forgotten to tell Yuri."
By Peter the Human,Adventure Time,Cartoons & TV,"Marceline the Vampire Queen is a half-vampire/half-demon who plays a bass guitar, which she crafted from her family's heirloom battle-axe. At a little over a thousand years old, her immortality is sustained by drinking blood; and she has gained several supernatural powers from absorbing the essence of powerful vampires - including the powers of flight, invisibility, shape-shifting and rapid healing.","t a little over a thousand years old, her immortality is sustained by drinking blood;","Um, actually, Marceline's immortality isn't sustained by drinking blood. Marceline can drink the color red instead of blood."
By Peter the Human,Animaniacs,Cartoons & TV,"“Animaniacs” followed (among others) the Warner Brothers, Yakko and Wakko, and the Warner Sister Dot - anthropomorphic cartoon dogs that were created in the 1930s. After the trio ran amok throughout Warner Bros. Studios creating chaos, they were locked in the studio water tower until they escaped in the 90s. Frequently, the Warners were joined by Dr. Otto von Scratchansniff and Hello Nurse, who fruitlessly attempted to force the siblings to be “less zany”.","“Animaniacs” followed (among others) the Warner Brothers, Yakko and Wakko, and the Warner Sister Dot - anthropomorphic cartoon dogs that were created in the 1930s.","Um, actually, the Warner Siblings aren’t dogs. Their species was never made clear. This fact was lampshaded in the song “What Are We?” where the siblings reached the conclusion that they were ‘cute’."
By Peter the Human,Beauty and the Beast,Cartoons & TV,"The Beast's castle may seem nice, with sixty rooms and Baroque architecture (according to Cogsworth), but it was cursed by an enchantress as punishment for the young prince's cruelty. Despite the Beast's warnings, Belle enters the castle's forbidden West Wing and discovers the Beast's magnificent library. After the Beast orders her to ""Get out!"" she flees into the woods and is ambushed by a pack of wolves. Fortunately, the Beast rescues her.","Despite the Beast's warnings, Belle enters the castle's forbidden West Wing and discovers the Beast's magnificent library.","Um, actually, the library isn't in the West Wing of the castle. Belle discovers the Enchanted Rose in the West Wing. The beast offers Belle the library as a ""surprise"" later."
By Peter the Human,The Boondocks,Cartoons & TV,"Uncle Ruckus is a self-loathing black man who holds extremely racist views towards all non-white people. Frequently antagonistic towards the Freeman family, he lives in a one-room shack on the outskirts of Woodcrest. At various times he has claimed to be a Caucasian man with ""re-vitiligo""; and uses his French and Irish ancestry (confirmed in his DNA test) as evidence of his whiteness.",and uses his French and Irish ancestry (confirmed in his DNA test) as evidence of his whiteness.,"Um, actually, the DNA test didn't confirm Ruckus’ French or Irish ancestry. Uncle Ruckus' DNA test told him he's 102% African with a 2% margin of error."
By Peter the Human,Futurama,Cartoons & TV,"The Brain Spawn are a species of sentient, flying brains that were responsible for the extinction of the dinosaurs, and invaded planet Earth during the 31st century. The species has the ability to render nearly all humans stupid - the sole exception being Fry; who is immune to this power because he lacks the delta brainwave, as a result of being cryogenically frozen.","who is immune to this power because he lacks the delta brainwave, as a result of being cryogenically frozen.","Um, actually, Fry doesn't lack the delta brainwave because of being frozen. He lacks the brainwave because he is his own grandfather (due to some ""nasty in the past-y"")"
By Peter the Human,Gravity Falls,Cartoons & TV,"The town of Gravity Falls is home to all kinds of peculiar creatures: including the hyper-masculine Manotaurs, the Trickster that emerges every Halloween to punish children who don't show respect to the Halloween spirit, the Lilliputtians (small, golf-ball headed hominids who secretly run Ye Royal Discount Putt Hutt) and gnomes who can stack themselves together to form a giant, gnome-like monster.","the Trickster that emerges every Halloween to punish children who don't show respect to the Halloween spirit,","Um, actually, the Trickster doesn't come out on Halloween. The Trickster comes out on Summerween - a summer festival that uses jack-o-melons instead of jack-o-lanterns."
By Peter the Human,He-Man and the Masters of the Universe,Cartoons & TV,"Prince Adam is endowed with fabulous secret powers whenever he holds the Sword of Power aloft and proclaims, “By the Power of Grayskull!”, transforming him into He-Man. He uses this power to defend the planet Etheria from the forces of the villainous Skeletor, who seeks to conquer Castle Grayskull and become powerful enough to rule the Universe.","He uses this power to defend the planet Etheria from the forces of the villainous Skeletor,","Um, actually, He-Man doesn’t live on Etheria. He-Man's planet is called Eternia. His sister She-Ra's planet is called Etheria."
By Peter the Human,The Incredibles,Cartoons & TV,"Years after being rejected as a sidekick by Bob Parr (AKA Mr. Incredible), Buddy Pine (AKA Syndrome) lures Mr. Incredible to an island to fight his robotic Omnidroid. There, he learns that Syndrome has been perfecting his Omnidroid in order to stage an attack, by hiring different superheroes to fight it, resulting in the deaths of many of Bob’s former colleagues – including Thunderhead, Stratogale, Meta Man, Dynaguy and Splashdown.","resulting in the deaths of many of Bob’s former colleagues – including Thunderhead, Stratogale, Meta Man, Dynaguy and Splashdown.","Um, actually, the dead superheroes listed here didn't die fighting the Omnidroid. They all died in cape-related accidents, shown in a montage during Edna Mode’s supersuit redesign for Mr. Incredible"
By Peter the Human,Inside Job,Cartoons & TV,"“Inside Job” is a workplace comedy set in a world where many conspiracy theories are real. The series follows Reagan Ridley, a scientist working at Cognito Inc. - one of six organizations that secretly control the world. The other five organizations are the Atlanteans, the Reptoids, the Catholic Church, Vampires (such as Keanu Reeves) and the Illuminati (whose members include Jay-Z and Beyoncé).",Vampires (such as Keanu Reeves) and the Illuminati (whose members include Jay-Z and Beyoncé).,"Um, actually, vampires aren't one of the organizations that control the world. The fifth group not mentioned here are the Juggalos – fans of the band Insane Clown Posse who control all the world’s finances."
By Peter the Human,Kim Possible,Cartoons & TV,"Kim Possible, the title character of the animated show, was based on the daughters of creators Bob Schooley and Mark McCorkle, and their childhood hero James Bond. Kim's nemeses are appropriately Bond-esque, including the mad scientist Dr. Drakken and his sidekick, the martial artist Shego - both of whom have discolored skin as a result of being hit by a mysterious rainbow “comet”.","Dr. Drakken and his sidekick, the martial artist Shego - both of whom have discolored skin as a result of being hit by a mysterious rainbow “comet”.","Um, actually, Dr. Drakken's skin isn't discoloured due to the comet. That's why Shego has green skin, but we never find out why Dr. Drakken has blue skin. The only explanation he gives is that “It was a Tuesday”."
By Peter the Human,The Little Mermaid,Cartoons & TV,"The character designs in the 1989 film The Little Mermaid came from a wide variety of sources: the sea witch Ursula’s design was based on drag performer Divine, Ariel’s father King Neptune was based on the mythological figure of the same name, and supervising animator Glen Keane once joked that his wife looked exactly like Ariel “without the fins”.","Ariel’s father King Neptune was based on the mythological figure of the same name,","Um, actually, Ariel's father isn't called King Neptune. Ariel's father is called King Triton - King Neptune is from SpongeBob SquarePants."
By Peter the Human,Metalocalypse,Cartoons & TV,"“Metalocalypse” follows the misadventures of Dethklok, a death metal band so popular, at one point they rank as the seventh-largest economy on Earth. Several Dethklok songs feature throughout the series, including: “Hammer Smashed Face”, “Briefcase Full of Guts”, “I Tamper With The Evidence at the Murder Site of Odin”, “Murmaider”, “Murmaider II: The Water God” and “I Ejaculate Fire”.","Several Dethklok songs feature throughout the series, including: “Hammer Smashed Face”, “Briefcase Full of Guts”, “I Tamper With The Evidence at the Murder Site of Odin”,","Um, actually, “Hammer Smashed Face” isn't a Dethklok song. It's a song by the real, flesh-and-blood death metal band Cannibal Corpse."
By Peter the Human,Pixar,Cartoons & TV,"The timeframe of Pixar’s prequels and sequels varies a lot: “Monsters University” takes place years before the titular university was mentioned in “Monsters Inc.”, whereas “The Incredibles 2” picks up immediately where the first film left off. “Finding Dory” takes place a year after the events of “Finding Nemo”, and “Toy Story 3” takes place a full decade after “Toy Story 2”, with a now 17-year-old Andy leaving for college.","“Monsters University” takes place years before the titular university was mentioned in “Monsters Inc.”,","Um, actually, Monster's University wasn't mentioned in Monsters Inc. This caused an unintentional plot hole: Mike says that Sully’s been jealous of his good looks since fourth grade in “Monsters Inc”."
By Peter the Human,Rick and Morty,Cartoons & TV,"In the episode “Pickle Rick”, Rick turns himself into a pickle to avoid going to family therapy. A series of bizarre events leads to Rick, as a pickle in an exo-suit made from rat parts, doing battle with a group of Russian agents who mistake him for the legendary assassin Baba Yaga. Rick ultimately defeats the Agency Director by teaming up with a fighter known as Jaguar, that had been sent to kill him.",doing battle with a group of Russian agents who mistake him for the legendary assassin Baba Yaga.,"Um, actually, the agents didn't mistake Rick for Baba Yaga. Baba Yaga was the nickname given to John Wick, which this episode is partly an homage to. Pickle Rick was actually called “Solen'ya” – a pickle man who crawls from bowls of soup and steals the dreams of wasteful children."
By Peter the Human,She-Ra and the Princesses of Power,Cartoons & TV,"The various Princesses in “She-Ra” are not necessarily all rulers or heirs of a kingdom, but they do all derive magical abilities from runestones: such as Perfuma’s runestone Heart Blossom which gives her the ability to control plants, Mermista’s runestone Pearl which gives her control of water, and Scorpia’s runestone Black Garnet which gives her control of electricity.",but they do all derive magical abilities from runestones:,"Um, actually, the princesses don't all use magical abilities. One of the princesses, Entrapta, has no runestone or magical abilities – she is the monarch of Dryl, and she’s just very good with technology."
By Peter the Human,The Simpsons,Cartoons & TV,"The episode “A Star Is Burns”, a crossover episode with “The Critic”, follows the Springfield Film Festival – judged by titular critic Jay Sherman, alongside Krusty, Mayor Quimby, Marge and Homer. Homer struggles to choose a contest winner between his boss Mr. Burns’ self-aggrandising project ""A Burns For All Seasons"" and Barney’s more introspective film about his alcoholism, ""Pukahontas"".","Homer struggles to choose a contest winner between his boss Mr. Burns’ self-aggrandising project ""A Burns For All Seasons"" ","Um, actually, Homer didn't think A Burns for All Seasons should win. He was conflicted between ""Pukahontas"" and Hans Moleman's film ""Man Getting Hit By Football"" - where Moleman gets hit in the groin with a football."
By Peter the Human,Steven Universe,Cartoons & TV,"The Crystal Gems are a group of rebels against The Great Diamond Authority on the Gem Homeworld, founded by Pink Diamond under the guise of Rose Quartz. Although others later join the group, at the beginning of the series the Gems consist of Pearl, Amethyst and Garnet (a fusion of Ruby and Sapphire) who all hail from the Gem Homeworld; and Steven - Rose Quartz's half-Gem, half-human son who was born on Earth.","the Gems consist of Pearl, Amethyst and Garnet (a fusion of Ruby and Sapphire) who all hail from the Gem Homeworld;","Um, actually, Amethyst doesn't hail from the Gem Homeworld. Amethyst was created in an Earth Kindergarten."
By Peter the Human,Teenage Mutant Ninja Turtles,Cartoons & TV,"The Teenage Mutant Ninja Turtles are four turtles who were exposed to a mutagenic ""ooze"" and adopted by Master Splinter - a mutated rat who previously belonged to ninja master Hamato Yoshi. Master Splinter adopts the turtles as his sons: naming them after Italian Renaissance artists and training them in the art of ninjitsu.",Master Splinter - a mutated rat who previously belonged to ninja master Hamato Yoshi.,"Um, actually, Master Splinter wasn't a rat belonging to Hamato Yoshi. This is Splinter's origin in the original comic books and some other adaptations - in the 1987 cartoon, Master Splinter is Hamato Yoshi. He mutated when the ooze combined his DNA with that of sewer rats."
By Peter the Human,Turning Red,Cartoons & TV,The female descendants of Sun Yee are afflicted with the ability to transform into giant red pandas when they experience strong emotions - a curse that manifests on a descendant's thirteenth birthday. The red panda spirit can be sealed away by performing a ritual that encases it in an object under a red moon; but protagonist Meilin Lee learns to control her power by thinking about her friends.,a curse that manifests on a descendant's thirteenth birthday.,"Um, actually, the curse doesn't manifest on their 13th birthdays. There’s no clear timescale for when the curse manifests - in fact, the curse manifesting so early catches Meilin's parents off-guard, with her father saying, ""It's happened already?!"""
By Peter the Human,Wallace and Gromit,Cartoons & TV,"In “The Wrong Trousers”, Wallace rents out the spare bedroom to a penguin, who turns out to be the wanted criminal Feathers McGraw. After using Wallace’s techno trousers steal a diamond; a high-speed model train chase ensues. The chase ends when Gromit captures Feathers in a milk bottle, and he is sent to prison by the police.","The chase ends when Gromit captures Feathers in a milk bottle, and he is sent to prison by the police.","Um, actually, Feathers McGraw doesn't go to prison. He’s a penguin – so Feathers McGraw is sent to the zoo!"
By Peter the Human,Arrow,Comics & Superheroes,"Season One of “Arrow” follows Oliver Queen hunting down individuals on ‘The List’ – a list of names that he obtained from his father, Robert. It is later revealed that ‘The List’ is the list of names of benefactors towards ‘The Undertaking’, a plan to destroy a crime-ridden neighbourhood of Star City called The Glades. Notable names on ‘The List’ include Guillermo “Brutale” Barrera and Hannibal “Everyman” Bates.","‘The Undertaking’, a plan to destroy a crime-ridden neighbourhood of Star City called The Glades.","Um, actually, the city isn't called “Star City”. At the time of The Undertaking, the city was known as Starling City. It was later renamed Star City after the apparent death of Ray Palmer."
By Peter the Human,The Avengers,Comics & Superheroes,"In “The Avengers”, Loki steals the Tesseract from a S.H.I.E.L.D. research facility and uses it to control the mind of Clint “Hawkeye” Barton. This prompts Nick Fury to activate the Avengers Initiative, to capture Loki and retrieve the Tesseract. The plan seems to be successful when Loki is imprisoned on the Helicarrier, until he escapes and successfully uses the Tesseract to open a wormhole allowing a Chitauri fleet to invade New York.",Loki steals the Tesseract from a S.H.I.E.L.D. research facility and uses it to control the mind of Clint “Hawkeye” Barton.,"Um, actually, Loki doesn't use the Tesseract to control Hawkeye's mind. He uses the Mind Stone in his scepter, not the Space Stone in the Tesseract."
By Peter the Human,Avengers: Endgame,Comics & Superheroes,"The battle against Thanos in Avengers: Endgame gave us a scene that was either an empowering feminist statement or cheap virtue signalling – depending on who you ask – as Captain Marvel takes the Infinity Gauntlet from Peter Parker and flies through the Chitauri horde, accompanied by many female Marvel characters, including Scarlet Witch, Valkyrie, Okoye, Pepper Potts, Mantis, Black Widow, Shuri, Wasp, Gamora and Nebula.","including Scarlet Witch, Valkyrie, Okoye, Pepper Potts, Mantis, Black Widow, Shuri, Wasp, Gamora and Nebula.","Um, actually, Black Widow wasn't present at the battle against Thanos. Black Widow had died earlier in the film, sacrificing herself to retrieve the Soul Stone."
By Peter the Human,Avengers: Infinity War,Comics & Superheroes,"Thanos is a particularly quotable villain. Some of his lines from Infinity War include: “The hardest choices require the strongest wills”, “A simple spell, but quite unbreakable”, “Dread it, run from it, destiny arrives all the same”, and “Perfectly balanced, as all things should be”.","Some of his lines from Infinity War include: “The hardest choices require the strongest wills”, “A simple spell, but quite unbreakable”,","Um, actually, “A simple spell, but quite unbreakable” wasn't said by Thanos. It was said by Doctor Strange - but, like many of Thanos' lines, it became a meme."
By Peter the Human,Batman,Comics & Superheroes,"The Batman villain Bane debuted in the Knightfall storyline, where he had a diabolical plan for defeating Batman. After escaping from Arkham Asylum, he freed other inmates (including Joker, Poison Ivy and Scarecrow) to wreak havoc on Gotham – causing Batman to spend 3 months rounding them up and running himself to exhaustion, after which Bane fought him in the Batcave and broke his back.","After escaping from Arkham Asylum, he freed other inmates","Um, actually, Bane wasn't imprisoned in Arkham. Bane was raised in an entirely separate prison in South America called Peña Duro."
By Shinitenshi,The Boys,Comics & Superheroes,"The Boys are a vigilante group including Hughie, who joined the team after his girlfriend was killed by the superhero A-Train, weapons expert Frenchie, Butcher, who leads the team and earned his nickname from his violent methods, military veteran Mother’s Milk, and The Female, a selectively mute woman - although nameless in the original comics, her name was revealed to be Kimiko Miyashiro in the TV adaptation.","weapons expert Frenchie, Butcher, who leads the team and earned his nickname from his violent methods,","Um, actually, Butcher’s nickname doesn’t come from his violent methods. Butcher's actual name is Billy Butcher."
By Peter the Human,The Dark Knight,Comics & Superheroes,"Heath Ledger's portrayal of Joker was particularly quotable. His one-liners include: “Whatever doesn't kill you, simply makes you stranger”, “Wanna know how I got these scars?”, “I’m gonna make this pencil disappear”, “It’s not about the money, it’s about sending a message”, “Some men just want to watch the world burn”, “I’m an agent of chaos” and, of course, “Why so serious?”","“Some men just want to watch the world burn”, “I’m an agent of chaos” and, of course, “Why so serious?”","Um, actually, “Some men just want to watch the world burn” isn't a Joker quote. That line was said by Alfred."
By Peter the Human,DC Rebirth,Comics & Superheroes,"The story “And Then There Were Three” details Wonder Woman's first encounter with Batman and Superman in the DC Rebirth canon. In a memorable sequence, the three hold Diana's Lasso of Truth and state their names. Wonder Woman introduces herself as Diana of Themyscira, Daughter of Queen Hippolyta, Batman as Bruce Wayne, and Superman introduces himself with both his human and Kryptonian names: Clark Kent and Kal-El.","Batman as Bruce Wayne,","Um, actually, Batman doesn't introduce himself as Bruce Wayne. He introduces himself as Batman - implying he considers that to be his 'real' name."
By Peter the Human,The Death of Superman,Comics & Superheroes,"“The Death of Superman” was a trilogy of story arcs that ran through the early 90s. In the third and final story arc, after the Justice League International, Professor Emil Hamilton and Bibbo Bibbowski fail to stop the supervillain Doomsday; Doomsday and Superman kill each other. The arc concludes with Superman’s funeral being attended by a variety of superheroes and supervillains, as well as Bill and Hillary Clinton.","In the third and final story arc, after the Justice League International, Professor Emil Hamilton and Bibbo Bibbowski fail to stop the supervillain Doomsday;","Um, actually, those events didn't occur during the third story arc. Superman dies at the end of the first arc. The second arc deals with Superman's funeral and the fallout from his death, and he returns in the third arc."
By Peter the Human,Guardians of the Galaxy,Comics & Superheroes,"The Guardians of the Galaxy from the film of the same name consist of Peter “Star-Lord” Quill, a half-human man who was raised by the Ravagers; Gamora, who was trained to be a personal assassin for the Mad Titan Thanos; the warrior Drax, who seeks to avenge his family's death at the hands of Ronin the Accuser; and two bounty hunters – humanoid tree-like creature Groot, who we only ever hear say “I am Groot”; and Rocket, a genetically engineered raccoon.","humanoid tree-like creature Groot, who we only ever hear say “I am Groot”;","Um, actually, Groot doesn't only say “I am Groot”. He says “We are Groot” when he sacrifices himself in “Guardians of the Galaxy” and “I love you guys” in “Guardians of the Galaxy: Vol. 3”"
By Peter the Human,Harley Lives!,Comics & Superheroes,"“Detective Comics Volume 2” gave us a new insight into the origins of Harley Quinn. Disguised as a cop, she gives free games consoles to the children of Gotham. From the top of a building, she reflects on her origins and how she has begun to disassociate when violence occurs; before enacting her master plan - the game consoles update to hypnotize the children into becoming her army of child soldiers.",before enacting her master plan - the game consoles update to hypnotize the children into becoming her army of child soldiers.,"Um, actually, the video game consoles aren't hypnotic. The update makes the consoles explode, killing children en masse."
